region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Российская Федерация;147969407;148394216;148538197;148458777;148407912;148375787;148160129;147915361;147670784;147214776;146596869;145976482;145306497;144648618;144067316;143518814;143049637;142805114;142742366;142785349;142849468;142960908;143201721;143506995;146090613;146405999;146674541;146842402;146830576;146764655;146459803
Белгородская область;1392730;1401467;1412346;1427144;1444738;1461246;1473060;1482212;1490345;1498286;1504346;1507555;1510025;1512879;1512761;1511688;1512934;1517127;1523180;1529019;1532067;1534213;1538529;1542546;1546022;1549037;1551501;1551371;1548647;1548284;1545205
Брянская область;1464469;1457002;1458081;1461231;1465771;1468032;1462990;1453721;1442873;1430326;1415576;1399696;1383212;1367626;1352190;1335892;1320200;1308046;1298797;1290395;1280947;1269885;1259041;1248132;1237769;1229340;1223135;1215756;1205584;1196339;1187587
Владимирская область;1655763;1651106;1645084;1638245;1632275;1627109;1618190;1607785;1597537;1583833;1566780;1548625;1529627;1514814;1503585;1492025;1481157;1471302;1462340;1453855;1445451;1436531;1426837;1417531;1409467;1401390;1393383;1383968;1372071;1362110;1350257
Воронежская область;2470301;2468202;2473030;2483459;2491599;2492826;2487720;2477551;2464426;2449944;2431838;2409742;2385788;2370959;2366194;2362922;2357358;2349109;2341705;2336946;2334852;2333158;2330942;2329668;2330053;2332312;2334443;2334588;2330795;2326013;2314906
Ивановская область;1293927;1288979;1282200;1274138;1264777;1254552;1242252;1229205;1216646;1202594;1186785;1170416;1153205;1137783;1123883;1109301;1095849;1085475;1077710;1071048;1063948;1057074;1051501;1046046;1040020;1033374;1026504;1018908;1009413;1000658;992083
Калужская область;1071190;1074319;1076886;1079896;1083992;1088139;1087882;1085616;1082157;1075132;1065349;1054948;1044109;1035135;1029618;1025461;1021741;1018934;1016662;1015297;1012093;1008710;1006907;1005065;1007515;1010129;1012171;1013363;1010768;1005978;1001777
Костромская область;804700;803160;800835;798175;795331;791303;785279;778999;772844;765787;757942;748973;739208;728798;717560;705870;694788;686616;680605;675366;669665;664078;660335;657648;655390;652920;649804;645741;640296;635326;630904
Курская область;1330947;1327038;1326658;1328721;1330449;1328526;1321499;1312780;1302081;1288973;1274107;1257519;1239845;1222235;1204592;1186719;1169605;1156720;1147593;1139159;1130319;1123605;1120412;1119089;1118147;1118698;1121456;1119065;1111139;1105524;1100248
Липецкая область;1232443;1232925;1235670;1240927;1244877;1246536;1245435;1243648;1240916;1236423;1230888;1224292;1215746;1208140;1201926;1196235;1192149;1188557;1184344;1179516;1174539;1168971;1164075;1161051;1158866;1156979;1156157;1153211;1147118;1141703;1133782
Московская область;6710213;6719677;6711729;6690811;6674551;6665991;6658948;6657430;6655334;6640830;6620819;6611296;6613019;6644102;6704033;6760297;6815337;6871095;6926692;6991111;7065211;6912801;7001567;7090852;7182344;7274857;7371058;7463427;7551516;7645255;7699681
Орловская область;896691;898742;901347;905530;908472;907455;903001;898092;893360;887646;880460;872117;862919;852682;841108;828631;816743;808298;802031;796000;789368;783437;778554;772903;767605;762476;757269;751032;743357;736483;729092
Рязанская область;1350274;1347330;1342849;1338516;1333211;1326112;1316580;1305817;1294281;1281530;1266657;1249893;1232343;1217031;1204865;1194108;1185158;1177921;1171121;1164855;1156822;1150147;1146554;1142747;1138141;1132771;1128421;1124107;1117805;1111492;1103552
Смоленская область;1158042;1154902;1151965;1151478;1153394;1153125;1145942;1135243;1122804;1107879;1090796;1072733;1054576;1042505;1035715;1028870;1021671;1013459;1004864;996865;987953;981685;977835;971542;966344;961711;955916;951274;945856;938626;928008
Тамбовская область;1315807;1307816;1303564;1302507;1299938;1293560;1282253;1268833;1254755;1239463;1222320;1203494;1183815;1168044;1156341;1144689;1132782;1121726;1112124;1103730;1094675;1086122;1079147;1072341;1065677;1056358;1045311;1036939;1024759;1011357;1000584
Тверская область;1664673;1655855;1644359;1633530;1624324;1616856;1605807;1591551;1575181;1555224;1531687;1505510;1478524;1456696;1440218;1423942;1407059;1392899;1381183;1370372;1357707;1346143;1338130;1329655;1320160;1309907;1300771;1290336;1276754;1265007;1252999
Тульская область;1852749;1844010;1836401;1830358;1823194;1814714;1803122;1789335;1774002;1754660;1731523;1706842;1681909;1659506;1640500;1623486;1607666;1594048;1582152;1570500;1557492;1547438;1538490;1526966;1517533;1510008;1502931;1495636;1485337;1472472;1457621
Ярославская область;1472990;1471627;1466832;1460564;1454820;1449750;1442150;1433099;1424056;1412769;1399921;1386074;1371396;1355714;1338427;1321306;1306389;1296250;1289329;1283105;1275547;1271018;1271351;1271719;1271697;1271771;1271324;1268210;1262648;1256501;1247407
г. Москва;8948775;9042611;9066918;9066310;9076032;9166094;9328980;9507765;9693767;9858089;10023556;10192050;10328404;10461292;10631055;10825095;11007595;11139139;11234241;11331896;11461631;11816671;11918053;12043893;12152926;12263861;12355395;12443566;12560873;12646679;12666565
Республика Карелия;791593;790483;787797;782099;774406;767030;759691;752915;746707;739515;732141;725179;718376;709030;696224;682821;670537;662218;656585;651242;645650;641131;638307;635667;633468;631204;628479;624784;620270;616060;611567
Республика Коми;1244393;1231016;1214108;1199077;1174402;1144707;1124200;1105717;1086852;1067938;1050380;1036263;1022838;1007948;991373;972921;953884;939842;928594;917149;905596;894526;885238;876348;868240;860627;853693;845713;835554;825354;817032
Архангельская область (с а/о);1572233;1561772;1546208;1527902;1508073;1487116;1465475;1444381;1424010;1402242;1379733;1359777;1341541;1324102;1307384;1290528;1274252;1261915;1251684;1241849;1231186;1219207;1207914;1197040;1187554;1178701;1169914;1160389;1149574;1140327;1131793
Ненецкий автономный округ;51832;50966;49253;47385;45532;43962;42955;42171;41660;41358;41062;40930;41307;41790;41894;41910;41884;41877;41879;41986;42110;42271;42613;42907;43199;43606;43888;43967;43913;43970;44250
Архангельская область (без а/о);;;;;;;;;;;;;;;;;;;;;;;;1154133;1144355;1135095;1126026;1116422;;;
Вологодская область;1354135;1353511;1352547;1349968;1343988;1336226;1328614;1320919;1313488;1304729;1294980;1284455;1272696;1261386;1250846;1240354;1230360;1222777;1216955;1211249;1204777;1199868;1197371;1194783;1192190;1189347;1185773;1180274;1172201;1164079;1155744
Калининградская область;885909;894592;904984;915321;926528;936982;942243;948471;956974;960029;958145;956484;954768;950990;944993;939336;935452;934814;935955;937623;940228;944310;950785;958951;966036;972692;981350;990430;998393;1007349;1015568
Ленинградская область;1671237;1677035;1679691;1678312;1679369;1684076;1687281;1691022;1693135;1690003;1683540;1676526;1669928;1670219;1677366;1683411;1688244;1691844;1695738;1701902;1711743;1726244;1742521;1757529;1769732;1777198;1785386;1802866;1830841;1861870;1884292
Мурманская область;1190125;1179585;1151830;1116911;1083740;1052042;1024636;1000027;975999;952573;931967;914312;897786;881477;865042;848184;831703;819559;810347;802659;796921;791012;784174;775729;768670;764227;759897;755589;750807;744730;737134
Новгородская область;752633;750361;747886;744534;740732;737455;733516;730610;727876;722290;714405;705564;696495;687552;678742;670068;661600;654891;648784;642533;636248;631274;627802;624143;620567;617198;614107;609499;603386;598402;594461
Псковская область;843524;840299;836869;834105;831083;828161;823405;816817;808856;798924;787531;775740;763885;752434;740635;727645;714502;703913;694963;686114;676582;669098;664215;659034;653834;648741;644269;639355;633099;627883;623182
г. Санкт-Петербург;5004955;4996936;4964638;4912231;4863488;4832813;4813421;4795313;4777442;4756413;4728385;4701625;4672445;4659256;4674264;4699672;4730202;4756207;4781789;4815736;4866052;4926281;4990609;5079971;5161816;5208690;5253634;5316757;5367912;5390977;5391203
