Регион;2008_по ст.105 УК РФ (Убийство);2008_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2008_по ст.131 УК РФ (Изнасилование);2008_по ст.158 УК РФ (Кража);2008_по ст.161 УК РФ (Грабёж);2008_по ст.162 УК РФ (Разбой);2008_по ст.163 УК РФ (Вымогательство);2008_по ст.213 УК РФ (Хулиганство);2009_по ст.105 УК РФ (Убийство);2009_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2009_по ст.131 УК РФ (Изнасилование);2009_по ст.158 УК РФ (Кража);2009_по ст.161 УК РФ (Грабёж);2009_по ст.162 УК РФ (Разбой);2009_по ст.163 УК РФ (Вымогательство);2009_по ст.213 УК РФ (Хулиганство);2010_по ст.105 УК РФ (Убийство);2010_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2010_по ст.131 УК РФ (Изнасилование);2010_по ст.158 УК РФ (Кража);2010_по ст.161 УК РФ (Грабёж);2010_по ст.162 УК РФ (Разбой);2010_по ст.163 УК РФ (Вымогательство);2010_по ст.213 УК РФ (Хулиганство);2011_по ст.105 УК РФ (Убийство);2011_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2011_по ст.131 УК РФ (Изнасилование);2011_по ст.158 УК РФ (Кража);2011_по ст.161 УК РФ (Грабёж);2011_по ст.162 УК РФ (Разбой);2011_по ст.163 УК РФ (Вымогательство);2011_по ст.213 УК РФ (Хулиганство);2012_по ст.105 УК РФ (Убийство);2012_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2012_по ст.131 УК РФ (Изнасилование);2012_по ст.158 УК РФ (Кража);2012_по ст.161 УК РФ (Грабёж);2012_по ст.162 УК РФ (Разбой);2012_по ст.163 УК РФ (Вымогательство);2012_по ст.213 УК РФ (Хулиганство);2013_по ст.105 УК РФ (Убийство);2013_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2013_по ст.131 УК РФ (Изнасилование);2013_по ст.158 УК РФ (Кража);2013_по ст.161 УК РФ (Грабёж);2013_по ст.162 УК РФ (Разбой);2013_по ст.163 УК РФ (Вымогательство);2013_по ст.213 УК РФ (Хулиганство);2014_по ст.105 УК РФ (Убийство);2014_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2014_по ст.131 УК РФ (Изнасилование);2014_по ст.158 УК РФ (Кража);2014_по ст.161 УК РФ (Грабёж);2014_по ст.162 УК РФ (Разбой);2014_по ст.163 УК РФ (Вымогательство);2014_по ст.213 УК РФ (Хулиганство);2015_по ст.105 УК РФ (Убийство);2015_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2015_по ст.131 УК РФ (Изнасилование);2015_по ст.158 УК РФ (Кража);2015_по ст.161 УК РФ (Грабёж);2015_по ст.162 УК РФ (Разбой);2015_по ст.163 УК РФ (Вымогательство);2015_по ст.213 УК РФ (Хулиганство);2016_по ст.105 УК РФ (Убийство);2016_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2016_по ст.131 УК РФ (Изнасилование);2016_по ст.158 УК РФ (Кража);2016_по ст.161 УК РФ (Грабёж);2016_по ст.162 УК РФ (Разбой);2016_по ст.163 УК РФ (Вымогательство);2016_по ст.213 УК РФ (Хулиганство);2017_по ст.105 УК РФ (Убийство);2017_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2017_по ст.131 УК РФ (Изнасилование);2017_по ст.158 УК РФ (Кража);2017_по ст.161 УК РФ (Грабёж);2017_по ст.162 УК РФ (Разбой);2017_по ст.163 УК РФ (Вымогательство);2017_по ст.213 УК РФ (Хулиганство);2018_по ст.105 УК РФ (Убийство);2018_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2018_по ст.131 УК РФ (Изнасилование);2018_по ст.158 УК РФ (Кража);2018_по ст.161 УК РФ (Грабёж);2018_по ст.162 УК РФ (Разбой);2018_по ст.163 УК РФ (Вымогательство);2018_по ст.213 УК РФ (Хулиганство);2019_по ст.105 УК РФ (Убийство);2019_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2019_по ст.131 УК РФ (Изнасилование);2019_по ст.158 УК РФ (Кража);2019_по ст.161 УК РФ (Грабёж);2019_по ст.162 УК РФ (Разбой);2019_по ст.163 УК РФ (Вымогательство);2019_по ст.213 УК РФ (Хулиганство);2020_по ст.105 УК РФ (Убийство);2020_по ст.111 УК РФ (Умышленное причинение вреда здоровью);2020_по ст.131 УК РФ (Изнасилование);2020_по ст.158 УК РФ (Кража);2020_по ст.161 УК РФ (Грабёж);2020_по ст.162 УК РФ (Разбой);2020_по ст.163 УК РФ (Вымогательство);2020_по ст.213 УК РФ (Хулиганство)
Российская Федерация;19740;45436;6208;1326342;243957;35366;9953;13589;17414;43112;5398;1188574;205379;30085;8492;9474;15324;39745;4907;1108369;164547;24537;6575;7219;14091;38512;4801;1038566;127772;20080;5915;5635;13059;37091;4486;992238;110063;18622;5989;5155;12151;34786;4246;922562;92069;16416;6594;4850;11766;32899;4163;908901;77725;14340;4541;4022;11353;30167;3936;1018456;72739;13642;4259;3318;10315;27442;3893;871084;61524;11416;4561;2597;9616;24552;3538;788531;56855;9104;5159;2190;8469;23224;3374;756395;50111;7474;5100;2091;7879;21465;3177;774159;45815;6739;5384;2005;7609;20019;3535;751243;38392;5280;6058;1773
Центральный федеральный округ;4213;8229;1288;298053;49342;10290;1137;3563;3497;7857;1167;280553;44218;8588;1218;2781;2973;7281;1082;269393;35832;6902;919;2307;2703;7199;1027;265154;29922;5828;782;1796;2488;6872;934;262901;28199;5774;1011;1523;2272;6191;840;240968;24660;5160;1613;1357;2231;5840;798;237347;20423;4291;826;1042;2165;5373;758;263219;19629;4065;811;865;1959;4999;663;228199;16089;3324;763;808;1762;4527;559;189865;13674;2398;876;662;1629;4219;545;182255;12436;2017;929;671;1518;4055;522;186225;11353;1859;1031;594;1369;3684;519;175669;9479;1349;1089;505
Белгородская область;98;232;33;6864;789;121;53;82;83;206;21;6810;767;106;45;59;81;196;11;6696;746;98;30;21;83;192;16;6730;581;58;29;24;65;211;27;6579;547;74;29;14;78;203;28;6455;392;56;36;13;61;175;14;6298;330;48;34;16;73;182;17;7262;310;59;26;8;67;147;14;5494;249;51;21;8;66;122;9;5021;259;45;25;4;63;128;14;4985;301;21;21;8;47;110;5;5328;294;25;43;4;46;121;5;5237;187;24;48;3
Брянская область;155;334;43;10997;1000;155;29;95;135;320;39;9502;939;154;30;73;127;272;35;8882;809;148;28;59;108;297;24;7639;563;99;22;65;116;255;24;7660;514;81;25;44;89;280;59;7707;553;99;19;36;106;270;31;6984;433;91;22;46;91;204;22;7073;368;81;22;25;61;198;25;6449;334;76;22;18;59;171;17;5354;325;52;21;4;45;164;13;5152;348;49;31;12;56;177;17;4644;249;36;22;10;51;137;9;4520;270;27;33;14
Владимирская область;176;353;28;14346;1910;373;50;115;173;360;49;12791;1696;340;46;93;163;388;45;12123;1310;276;56;62;138;355;51;11280;1193;253;62;46;147;312;50;10123;1092;228;26;41;118;288;35;7966;714;132;24;40;123;249;46;8589;795;142;30;20;109;232;31;9343;802;132;39;12;111;232;30;8271;666;109;17;10;100;195;19;7621;699;71;17;6;74;182;27;6569;641;61;39;5;62;191;18;6504;543;45;25;5;69;162;12;6212;453;40;41;3
Воронежская область;177;418;39;16236;2007;419;79;57;150;429;44;13807;1731;324;67;54;135;354;33;12742;1251;247;33;40;136;373;44;13147;1132;252;44;43;112;375;42;14465;1196;239;118;48;121;348;41;16675;1290;285;37;46;128;350;44;18675;1277;323;31;33;140;339;35;21372;1229;294;39;24;116;283;45;16855;984;230;48;25;99;270;37;15658;850;174;69;20;80;228;31;13409;722;125;61;14;86;196;38;15148;688;121;82;14;85;225;36;13963;584;99;76;12
Ивановская область;154;289;52;9757;1626;219;46;76;155;336;29;8354;1329;212;41;54;111;300;30;7889;1009;176;41;48;73;260;48;7454;917;146;31;67;94;217;33;6928;784;133;24;38;74;212;29;6158;641;116;22;32;53;219;26;6257;567;99;31;27;52;175;28;6515;489;92;29;16;61;177;18;6156;486;87;21;18;73;176;27;6647;614;80;35;18;62;156;16;5705;391;54;23;12;53;134;12;5582;383;49;42;17;50;145;19;5081;370;35;43;12
Калужская область;135;258;76;8531;946;274;21;75;136;271;63;8137;800;228;37;52;109;230;55;7328;626;182;35;25;98;272;56;6444;534;169;39;38;93;286;47;6230;536;127;48;27;87;222;48;7054;554;126;49;38;80;219;30;7105;553;113;27;18;82;198;42;8454;520;91;42;19;69;182;54;6967;385;72;26;9;67;191;37;6415;395;58;36;5;62;151;30;5947;404;41;26;10;48;142;33;6032;316;43;37;9;56;117;20;6641;389;44;61;10
Костромская область;104;182;38;4276;752;100;44;20;84;175;32;3607;602;99;195;17;54;153;34;3508;549;75;38;18;53;131;23;3141;414;61;41;18;47;124;15;3066;260;44;29;26;37;130;19;2577;229;45;19;14;37;120;20;2762;242;39;23;5;40;84;14;3593;256;37;17;6;27;103;21;2921;190;31;18;4;26;87;12;3124;239;28;20;4;21;74;8;2841;178;21;5;4;31;86;21;2836;195;21;11;8;28;81;12;3113;167;20;19;2
Курская область;104;206;46;11169;1047;122;48;49;99;229;55;9568;847;113;40;22;69;234;32;8970;735;121;25;10;74;214;42;8312;556;86;9;14;69;208;33;7085;443;57;15;16;65;212;28;5642;337;57;7;8;63;162;29;5377;362;46;11;5;68;161;26;5756;296;61;13;7;51;131;20;4376;234;66;19;5;35;124;26;4095;197;53;12;2;39;111;38;4066;203;38;24;0;32;120;18;5040;195;47;28;1;39;99;51;5178;169;32;30;2
